dept,sub
理學院,奈米科學概論
理學院,非破壞檢測
理學院,陶瓷材料製程與分析實驗
理學院,產學合作倫理
理學院,超硬材料與應用
理學院,太陽能電池技術
理學院,奈米能源材料合成應用實驗
理學院,材料分析
理學院,暑期專業實習
理學院,顯示器技術
理學院,鑄造學
理學院,光電綜論
理學院,普通物理實習(一)
理學院,近代物理
理學院,電磁學實習(一)
理學院,電磁學(一)
理學院,應用電子學(一)
理學院,應用電子學實驗(一)
理學院,色彩工程學
理學院,程式語言
理學院,光學設計概論實習
理學院,光學(二)
理學院,光學實驗(一)
理學院,光學設計概論
理學院,固態物理導論
理學院,專題研究(一)
理學院,液晶導論
理學院,電磁波
理學院,數位邏輯設計
理學院,LED封裝與量測專題實作
理學院,光纖光學專題實作
理學院,光學元件製作專題實作
理學院,太陽電池概論
理學院,光偵測器原理與應用
理學院,光纖通訊概論
理學院,光干涉與檢測概論
理學院,發光二極體原理與應用
理學院,電漿沉積技術
理學院,雷射加工專題實作
理學院,微光學元件與系統專題實作
理學院,顯示器專題實作
人社學院,文章寫作(一)
人社學院,文字學(一)
人社學院,文學概論(一)
人社學院,國學導讀
人社學院,台灣人文概論
人社學院,俗文學概論
人社學院,書法藝術創作
人社學院,中國文學史(一)
人社學院,詩選及習作(一)
人社學院,圖文編輯理論與實務
人社學院,歷代文選及習作(一)
人社學院,聲韻學
人社學院,古文字與出土文獻選讀
人社學院,文創構圖與平面設計
人社學院,史記
人社學院,文物管理
人社學院,漢字文化學
人社學院,佛學概論
人社學院,現代散文及習作
人社學院,經學概論
人社學院,中國文學史(三)
人社學院,中國思想史(一)
人社學院,詞選及習作
人社學院,中古中國與域外文化
人社學院,左傳
人社學院,桌遊文創設計
人社學院,中國思想史(三)
通識核心課,應用文
人社學院,文學批評
人社學院,多媒體文學與視覺傳達
人社學院,校外實習A組
人社學院,西洋文學概論(一)
人社學院,英語發音練習
人社學院,英文(一)
人社學院,英文作文(一)
人社學院,英文文法與修辭
人社學院,英語會話
人社學院,英文作文(三)
人社學院,語言學概論(一)
人社學院,第二外語(一)-日文
人社學院,第二外語(一)-法文
人社學院,第二外語(一)-德文
人社學院,第二外語(一)-西班牙文
人社學院,英國文學1600以前
人社學院,文學與地景
人社學院,英語語言史
人社學院,新聞英文閱讀
人社學院,散文選讀
人社學院,英語教學概論
人社學院,戲劇選讀
人社學院,英語辯論
人社學院,英文作文(五)
人社學院,筆譯概論
人社學院,第二外語(三)-日文
人社學院,第二外語(三)-法文
人社學院,第二外語(三)-德文
人社學院,第二外語(三)-西班牙文
人社學院,美國文學1865以前
人社學院,英國文學1800-1900
人社學院,兒童與青少年文學
人社學院,英詩選讀
人社學院,英語教學課程教材設計
人社學院,第二外語會話(一)-日文
人社學院,第二外語會話(一)-德文
人社學院,外語文專題
人社學院,英文媒體溝通
人社學院,畢業公演：演出與製作
人社學院,歐洲文學1350-1800
人社學院,英語教學實務
人社學院,日語聽力(一)
人社學院,口譯技巧演練
人社學院,筆譯技巧與習作
人社學院,商用英文
資電學院,物聯網入門
資電學院,R語言資料科學基石
資電學院,機器人簡介
綜合班,計算機概論與實習(I)
綜合班,計算機概論與實習(II)
資電學院,線性代數
資電學院,資電概論與倫理
資電學院,資料結構實習
資電學院,資料結構
資電學院,離散數學
綜合班,作業系統(一)
資電學院,產業實習導論
資電學院,專題產業實習
資電學院,電子學
資電學院,電子學實驗
資電學院,數位系統設計
資電學院,數位系統設計實驗
資電學院,物件導向設計
資電學院,物件導向設計實習
資電學院,軟體工程導論
資電學院,Web程式設計
資電學院,通訊與網路概論
資電學院,密碼學
資電學院,編譯器
資電學院,嵌入式系統導論
資電學院,資料庫系統
資電學院,數位影像處理
資電學院,社群網路APP開發與應用
資電學院,物件導向軟體工程
資電學院,使用者經驗設計
資電學院,網路程式設計
資電學院,網路程式設計實習
資電學院,安全程式設計
資電學院,資訊安全管理
資電學院,寬頻網路
資電學院,資料倉儲與資料挖掘
資電學院,人工智慧與深度學習
資電學院,資訊與網路安全
資電學院,計算機概論(一)
資電學院,計算機概論實習(一)
資電學院,普通物理-電、磁、光
資電學院,向量分析
資電學院,固態電子導論
資電學院,電子學(一)
資電學院,電子學實驗(一)
資電學院,電路學(二)
資電學院,電子學(三)
資電學院,電子學實驗(三)
資電學院,半導體物理
資電學院,電磁學(二)
資電學院,計算機結構學
資電學院,數位積體電路
資電學院,嵌入式系統
資電學院,數值方法與分析
資電學院,複變函數
資電學院,積體電路製程模擬
資電學院,超大型積體電路製程(一)
資電學院,半導體元件模型
資電學院,功率元件
資電學院,真空技術概論
資電學院,電子元件實務應用
資電學院,類比積體電路
資電學院,固態物理(二)
資電學院,電工實驗
資電學院,電力系統(一)
資電學院,電機機械 (一)
資電學院,控制工程(一)
資電學院,波動光學
資電學院,光學設計
資電學院,高頻電路概論
資電學院,電波實驗
資電學院,保護電驛
資電學院,光纖元件
資電學院,光電量測
資電學院,電磁波傳播
資電學院,線性控制系統(一)
綜合班,文明變遷
資電學院,人體生理解剖學
資電學院,生醫工程導論
資電學院,工程力學(一)
資電學院,可程式控制(含實驗)
資電學院,程式設計
資電學院,程式設計實習
資電學院,半導體原理
資電學院,光機電工程(一)
資電學院,工程圖學(含實習)
資電學院,醫學量測
資電學院,醫學影像系統
資電學院,電機機械
資電學院,數位信號處理
資電學院,微光機電製程原理
資電學院,機電元件模擬
資電學院,醫用電子
資電學院,油氣壓工程應用
資電學院,數位信號處理應用
資電學院,自動化系統設計
資電學院,高頻及微波電路概論
資電學院,計算機網路實習
資電學院,通訊協定與設計
資電學院,數位信號處理實驗
資電學院,工程數學－微分方程
資電學院,工程數學－機率論　　
資電學院,通訊系統
資電學院,通訊系統實習
資電學院,微處理機系統實習
資電學院,無線網路系統
資電學院,Android 程式設計
資電學院,射頻通訊積體電路設計
資電學院,行動通訊
資電學院,通訊科技專論
資電學院,電磁相容實習
資電學院,電磁相容導論
資電學院,高頻電路設計
資電學院,網宇實體系統與物聯網
建設學院,土木工程概論
建設學院,計算機程式設計
建設學院,計算機實習
建設學院,工程材料
建設學院,工程材料試驗
綜合班,水文學
建設學院,測量學
建設學院,測量學實習
建設學院,材料力學實習
建設學院,物業管理概論
建設學院,基礎工程
建設學院,結構學(二)
建設學院,鋼筋混凝土(一)
建設學院,土壤動力學
建設學院,鋼結構檢測
建設學院,中等土壤力學
建設學院,測量平差法
建設學院,畢業設計(一)
建設學院,工程資訊管理導論
建設學院,交通工程
建設學院,防震新科技
建設學院,岩石力學
建設學院,施工規劃及估價學
建設學院,高等結構學
建設學院,航空攝影測量
建設學院,基樁設計與施工
建設學院,混凝土配合設計
建設學院,鋼筋混凝土房屋設計
建設學院,營建財務概論
建設學院,邊坡穩定與擋土牆
建設學院,水利工程與資源保育概論
建設學院,河川生態學
建設學院,工程統計與軟體應用
建設學院,平面測量學實習(一)
建設學院,測量學(一)
建設學院,工程地質
建設學院,水污染防治
建設學院,明渠水力學
建設學院,明渠水力學實習
建設學院,流體力學試驗
建設學院,結構學
建設學院,土壤沖蝕原理與控制
建設學院,中等流體力學
建設學院,水土資源地理資訊系統應用
建設學院,施工估價與規範
建設學院,植生工程
建設學院,營建管理
建設學院,畢業專題研究
建設學院,水利與水土保持法規
建設學院,河川輸砂與觀測
建設學院,都市排水與模式應用
建設學院,運輸學
建設學院,計算機程式－VB
建設學院,計算機程式－VB實習
建設學院,海運規劃與管理
建設學院,管理數學
建設學院,運輸經濟
建設學院,公路工程
建設學院,公路監理法規與實務
建設學院,會計學
建設學院,運輸場站經營與開發
綜合班,公民視野
建設學院,交通法規與政策
建設學院,智慧型運輸系統
建設學院,運輸規劃
建設學院,運輸規劃實習
建設學院,交通肇事鑑定實務
建設學院,軌道交通電力工程
建設學院,軌道交通車輛工程
建設學院,國際貿易理論與實務
建設學院,港埠經營與管理實務
建設學院,捷運工程實務
建設學院,鐵道創意行銷
建設學院,公路改善方案評估
建設學院,物流系統設計
建設學院,高速鐵路工程與管理實務
建設學院,運輸計畫評估
建設學院,運輸企業實習
建設學院,運輸管理實務實習
建設學院,空間資訊概論
建設學院,網際網路地理資訊系統
建設學院,系統分析與設計
建設學院,空間資訊應用實務
建設學院,都市計畫與空間資訊實習(二)
建設學院,都市土地使用計畫
建設學院,電子地圖
建設學院,空間資訊庫規劃與設計
建設學院,航空攝影及遙感測量
建設學院,都市計畫與空間資訊實習(四)
建設學院,數值地形模型
建設學院,衛星大地測量
建設學院,程式設計(二)
建設學院,專業實務職場體驗實習
建設學院,都市計畫與空間資訊實習(六)
建設學院,地籍測量
建設學院,空間設計
建設學院,都市計畫概論
建設學院,製圖學
建設學院,都市環境調查
建設學院,計量經濟
建設學院,都市交通計畫
建設學院,建築計畫與設計
建設學院,國土及都市資訊系統
建設學院,計畫分析方法
建設學院,都市設計
建設學院,都市社會學
建設學院,專業實習(一)
建設學院,都市發展史
建設學院,都市計畫行政
建設學院,市中心計畫
建設學院,都市工程學
建設學院,衝突管理概論
建設學院,土地管理概論
