scr_selcode,sub_id3,cname,credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,precnt,acptcnt,note,unt_ls,cls_id,sub_id,scr_dup,year,sms,deptId,courseid,tname,cid,tid,populartiy,ct,course_id,score
321,FINA485,區塊鏈實務與應用,3.0,選修,否,否,否,財金四甲,(一)02-04 語404 許芳榮,80.0,0.0,,4801,CB03141,43543,1,107,2,CF,1072CB0314143543001,['許芳榮'],1819,576,0.0,1819_576,166d74d99bfd1c276442f20c16947e0a9083ffbf37b24baa151a91efdc2cdaf70e483db2a9c91c2e,-1
338,INSU101,保險學,3.0,必修,否,否,否,風管與保險一甲,(一)07-09 商104 張永郎,70.0,0.0, ,4802,CB04111,28800,1,107,2,CF,1072CB0411128800001,['張永郎'],227,1145,0.0,227_1145,166d74d99bfd1c272d4e46e8f10a356579c06c2f1dc1c54e48894da9619ad69b0e483db2a9c91c2e,"1.期中考        35%
2.期末考        35%
3.作業及小考  10% (2次, 各佔5%)
4.課堂參與   20% (出席10%、上課態度10%)"
347,INSU101,保險學,3.0,必修,否,否,否,風管與保險一乙,(二)02-04 語302 許文彥,70.0,0.0, ,4802,CB04112,28800,1,107,2,CF,1072CB0411228800001,['許文彥'],227,815,0.0,227_815,166d74d99bfd1c272d4e46e8f10a35657d3bb189e6ca05cd48894da9619ad69b0e483db2a9c91c2e,
376,INSU423,財產保險經營與管理,3.0,必修,否,否,否,風管與保險三乙,(五)02-04 語405 江朝峯,70.0,0.0,,4802,CB04132,37970,1,107,2,CF,1072CB0413237970001,['江朝峯'],805,816,0.0,805_816,166d74d99bfd1c272d4e46e8f10a35659bc528c3bcc6187413943634cee4dd500e483db2a9c91c2e,期中考30% 期末報告40% 平時成績30%
383,INSU491,保險產業專業實習,9.0,選修,否,否,否,風管與保險四甲,(六)03     未排教室 吳瑞雲,60.0,0.0,此課程配合風保系「7+1實習計畫」開設。    不開放線上加選,4802,CB04141,28553,1,107,2,CF,1072CB0414128553001,['吳瑞雲'],1831,316,0.0,1831_316,166d74d99bfd1c272d4e46e8f10a35657ea5b1b67df1b019670744d677f506860e483db2a9c91c2e,-1
1970,ACCT112,會計學(二),3.0,必修,否,否,否,財精一學位學程,(三)02-04 忠B03 王漢民,72.0,0.0,須隨班修習「會計學(二)實習」課,4805,CF03110,51901,1,107,2,CF,1072CF0311051901001,['王漢民'],1275,829,0.0,1275_829,166d74d99bfd1c276244ce7a79b092c5f2729c7b0956e228660ceb18820d12d10e483db2a9c91c2e,"成績評量方式 
a.期中考 20% 
b.期末考 20% 
c.小考 40%
d.平時表現 20% (正課與實習課出席考評佔20%，無故缺席每一節扣2%)"
1979,STAT102,統計學(二),3.0,必修,否,否,否,財精二學位學程,(一)02-04 商404 宮可倫,72.0,0.0,須隨班修習「統計學(二)實習」課,4805,CF03120,46000,1,107,2,CF,1072CF0312046000001,['宮可倫'],1283,819,0.0,1283_819,166d74d99bfd1c276244ce7a79b092c535b714713690723a067aa4195a8d1e4f0e483db2a9c91c2e,"期中35％
期末35％
平時30％"
1990,FEAS499,專業實習,9.0,選修,否,否,否,財精四學位學程,(六)06-08 未排教室 呂瑞秋,60.0,0.0,,4805,CF03140,43035,1,107,2,CF,1072CF0314043035001,['呂瑞秋'],1351,811,0.0,1351_811,166d74d99bfd1c276244ce7a79b092c582baf05c053fc7fe0e3d0f75c93367b80e483db2a9c91c2e,報告100%
2963,ISTM101,商業應用統計,4.0,必修,否,否,否,商學創新一學位學程,(三)01-02 人202 (四)01-02 人B116A 賴崑榮,60.0,0.0, ,4904,NM02110,31209,1,107,2,NM,1072NM0211031209001,['賴崑榮'],1846,343,0.0,1846_343,166d74d99bfd1c2707bd7601832121a0023ea33101b14fbb295f9064bbc144f80e483db2a9c91c2e,"Final Grade Distribution
Midterm　35％
Final　35％
Quizzes and assignments (20%)
Class attendance (10%)"
2976,ISTM121,高等C程式語言,3.0,必修,否,否,否,普渡電資一學位學程,(三)06-08 資電B14(電腦實習室) 梁詩婷,30.0,0.0, ,4905,NM03110,33941,1,107,2,NM,1072NM0311033941001,['梁詩婷'],1852,1104,0.0,1852_1104,166d74d99bfd1c27bd0587e48b675b9d023ea33101b14fbb2f055842da0c2f1e0e483db2a9c91c2e,"1) Homework: 40%
2) Mid term exam: 25%
3) Final exam: 25%
4) Effort: 10%"
2978,ISTM122,基礎電磁學,4.0,必修,否,否,否,普渡電資一學位學程,(二)07-09 紀105 (三)02-04 科航104(物實驗室四) 李英德,60.0,0.0, ,4905,NM03110,40532,1,107,2,NM,1072NM0311040532001,['李英德'],1854,508,0.0,1854_508,166d74d99bfd1c27bd0587e48b675b9d8612856e87aa543a2bcd40f6a29d50bc0e483db2a9c91c2e,"平時成績(點名,習作,課堂問答)佔30%, 期末全校統一會考, 10%,
期中考佔30% 
期未考佔30%"
2981,ISTM001,英文寫作,3.0,必修,否,否,否,普渡電資一學位學程,(一)06-08 人204 高大為,60.0,0.0, ,4905,NM03110,97860,1,107,2,NM,1072NM0311097860001,['高大為'],1848,832,0.0,1848_832,166d74d99bfd1c27bd0587e48b675b9dc84b6c6b68804eb6fa54dc964cf174de0e483db2a9c91c2e,
